District,SEDI,Deprivation_Level,SEDI_Rank,Priority_Level,Primary_Intervention,Secondary_Intervention,Economic_Deficit,Education_Deficit,Health_Deficit,Infrastructure_Deficit,Recommended_Programs
Yadgir,0.3448855989232839,High Deprivation,31,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Raichur,12.008908255193044,High Deprivation,30,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Chamarajanagar,16.423375776640704,High Deprivation,29,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Vijayapura,20.465225704746377,High Deprivation,28,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Kalaburagi,21.704722899977508,High Deprivation,27,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Bidar,24.47049318749844,High Deprivation,26,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Koppal,25.639472880698623,High Deprivation,25,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Vijayanagara,26.155492060905992,High Deprivation,24,URGENT,Economic Development,"Education Enhancement, Healthcare Infrastructure, Infrastructure Development",True,True,True,True,Skill Development Programs; MSME Support Schemes; Rural Employment Guarantee; Adult Literacy Campaigns; School Infrastructure Upgrade
Bagalkot,32.08295637652832,High Deprivation,23,URGENT,Education Enhancement,"Healthcare Infrastructure, Infrastructure Development",False,True,True,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Primary Health Center Expansion; Mobile Health Units
Gadag,33.789608633862,High Deprivation,22,URGENT,Education Enhancement,"Healthcare Infrastructure, Infrastructure Development",False,True,True,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Primary Health Center Expansion; Mobile Health Units
Ramanagara,35.76847061878971,Medium Deprivation,21,HIGH,Education Enhancement,Infrastructure Development,False,True,False,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Rural Road Connectivity; Electricity Grid Extension
Chitradurga,36.52801191284637,Medium Deprivation,20,HIGH,Education Enhancement,,False,True,False,False,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative
Haveri,37.03074765162682,Medium Deprivation,19,HIGH,Education Enhancement,,False,True,False,False,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative
Ballari,37.375831204544255,Medium Deprivation,18,HIGH,Education Enhancement,,False,True,False,False,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative
Chikkaballapur,38.84499535843796,Medium Deprivation,17,HIGH,Education Enhancement,Infrastructure Development,False,True,False,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Rural Road Connectivity; Electricity Grid Extension
Mandya,39.83897544346435,Medium Deprivation,16,HIGH,Education Enhancement,Infrastructure Development,False,True,False,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Rural Road Connectivity; Electricity Grid Extension
Kolar,40.27103778604832,Medium Deprivation,15,HIGH,Education Enhancement,Infrastructure Development,False,True,False,True,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative; Rural Road Connectivity; Electricity Grid Extension
Belagavi,41.44151950190413,Medium Deprivation,14,HIGH,Education Enhancement,,False,True,False,False,Adult Literacy Campaigns; School Infrastructure Upgrade; Digital Education Initiative
Davanagere,47.20072264508139,Medium Deprivation,13,HIGH,,,False,False,False,False,
Tumakuru,47.82644312796271,Medium Deprivation,12,HIGH,,,False,False,False,False,
Chikkamagaluru,48.10141591895666,Medium Deprivation,11,HIGH,Infrastructure Development,,False,False,False,True,Rural Road Connectivity; Electricity Grid Extension; Urban Development Projects
Hassan,48.69699437887235,Low Deprivation,10,MODERATE,Infrastructure Development,,False,False,False,True,Rural Road Connectivity; Electricity Grid Extension; Urban Development Projects
Shivamogga,52.59218434675287,Low Deprivation,9,MODERATE,,,False,False,False,False,
Bengaluru Rural,54.73241159098068,Low Deprivation,8,MODERATE,Infrastructure Development,,False,False,False,True,Rural Road Connectivity; Electricity Grid Extension; Urban Development Projects
Uttara Kannada,60.393415716257934,Low Deprivation,7,MODERATE,,,False,False,False,False,
Kodagu,61.057614176364815,Low Deprivation,6,MODERATE,Infrastructure Development,,False,False,False,True,Rural Road Connectivity; Electricity Grid Extension; Urban Development Projects
Dharwad,65.53482922576795,Low Deprivation,5,MODERATE,,,False,False,False,False,
Udupi,69.44187785107724,Low Deprivation,4,MODERATE,,,False,False,False,False,
Mysuru,69.90163628257872,Low Deprivation,3,MODERATE,,,False,False,False,False,
Dakshina Kannada,75.64079017153375,Low Deprivation,2,MODERATE,,,False,False,False,False,
Bengaluru Urban,94.34103260869566,Low Deprivation,1,MODERATE,,,False,False,False,False,
